City,Country,Latitude,Longitude,Temperature,Humidity,Wind,Cloudiness,Datetime
fonte boa,BR,-2.5,-66.27,81.88,85,2.37,98,1587069186
morondava,MG,-20.28,44.28,78.75,78,8.86,0,1587069033
manaus,BR,-3.1,-60.02,77.05,83,5.82,75,1587069186
saldanha,ZA,-33.01,17.94,62.6,82,6.93,100,1587069041
gwadar,PK,25.12,62.33,80.73,63,9.89,62,1587069187
pisco,PE,-13.7,-76.22,76.05,30,18.34,0,1587069006
ostrovnoy,RU,68.05,39.51,33.85,95,18.32,100,1587069005
eydhafushi,MV,5.1,73.07,84.58,74,9.4,30,1587069187
lakes entrance,AU,-37.88,147.98,42.01,93,21.5,1,1587069188
whitehorse,CA,60.72,-135.05,46.2,65,6.93,75,1587069124
springbok,ZA,-29.66,17.89,52.2,40,5.57,4,1587069188
omboue,GA,-1.57,9.26,78.17,92,9.44,100,1587069035
kaabong,UG,3.48,34.15,68.36,54,4.72,97,1587069189
lydenburg,ZA,-25.1,30.46,55.54,86,3.74,19,1587069189
tezu,IN,27.92,96.17,69.17,70,1.72,99,1587069083
natal,BR,-5.79,-35.21,81.5,78,10.29,20,1587069060
lata,PT,40.16,-8.33,58.48,87,10.29,20,1587069054
oristano,IT,39.9,8.6,62.6,93,8.05,75,1587069190
roma,US,43.21,-75.46,37.47,51,12.75,75,1587069125
orotukan,RU,62.27,151.7,3.9,86,8.5,100,1587069190
sydney,AU,-33.87,151.21,62.22,93,1.12,75,1587068980
ponta delgada,PT,37.73,-25.67,60.8,72,8.05,20,1587069056
palmer,US,42.16,-72.33,42.89,30,18.34,40,1587069144
ulaanbaatar,MN,47.91,106.88,17.6,67,2.24,0,1587069191
juazeiro,BR,-9.41,-40.5,89.6,49,5.82,20,1587069191
praia da vitoria,PT,38.73,-27.07,59.0,82,13.62,75,1587069191
vengerovo,RU,55.68,76.75,42.57,80,5.59,9,1587069191
deep river,CA,46.1,-77.5,38.39,27,9.17,20,1587069192
vytegra,RU,61.01,36.45,32.67,95,14.34,100,1587069192
bangassou,CF,4.74,22.82,77.92,40,0.6,52,1587069192
guerrero negro,MX,27.98,-114.06,76.08,26,13.06,100,1587069028
lubango,AO,-14.92,13.49,62.19,46,0.51,13,1587069193
dom pedrito,BR,-30.98,-54.67,65.52,65,6.42,81,1587069193
cairo,EG,30.06,31.25,62.29,59,11.41,40,1587068845
patti,IN,31.28,74.86,77.92,54,5.82,40,1587069193
yarensk,RU,62.17,49.09,31.24,95,11.03,96,1587069194
